Years of Education,Weekly Working Hours,Age,English Proficiency,Residence Area,Monthly Income (MXN)
10,22,28,1,0,21516.383348850806
9,28,34,3,1,21952.09555721943
19,31,60,1,0,41847.48792104246
13,42,25,5,0,31130.740108868005
18,33,39,1,1,38879.98744546146
17,52,21,5,0,41053.369155051696
14,37,28,1,0,30257.02833443912
19,60,25,1,1,45227.78516905605
19,28,26,3,1,39487.203858588786
9,42,43,1,1,28787.801587074493
9,29,19,5,1,17680.13837918566
10,38,33,3,1,29495.373060925736
17,24,48,1,0,33827.20203788906
11,42,23,3,0,23518.655392367098
9,49,38,4,1,30646.220181572015
13,44,43,3,0,33626.80873634791
15,47,36,4,0,36609.409865008056
14,53,45,4,0,35435.855288176026
20,44,25,3,0,41664.195824993956
9,29,31,5,0,22121.36695830712
13,33,41,5,1,28951.594378340815
13,49,61,5,1,35445.981694801456
14,60,54,2,0,38626.276414595595
11,44,43,4,0,26956.731982806577
13,33,48,3,1,31011.26425097223
15,54,49,5,1,34624.95025626556
13,53,58,5,1,39740.70280423419
13,29,19,3,1,26994.837279518244
13,54,42,4,0,32357.009229336436
18,30,61,3,1,40126.436401379215
18,30,19,2,1,33406.60122771602
11,40,59,2,0,30341.48532771459
9,40,18,3,1,24211.002302183708
13,41,53,4,1,30966.618433594762
17,26,29,5,1,37499.41865087427
9,36,26,2,1,27389.828937564358
11,21,53,2,1,24949.093347523045
12,31,58,4,0,27753.347638390504
9,37,45,2,0,24339.98367580512
9,30,55,2,0,24046.89183260803
16,35,50,4,0,38220.70098792366
10,37,59,3,0,27274.573660089573
20,54,63,5,1,44776.67760546055
16,45,39,5,1,37103.147011144516
15,35,42,2,1,30718.292815303754
18,25,35,5,1,37635.99013310676
18,31,23,3,1,36699.98536393146
10,32,35,2,1,23700.220796332043
14,23,33,5,1,27918.55774904869
14,58,32,1,1,36297.470148144406
11,21,25,1,1,20993.907105047307
19,45,30,1,1,38924.20858864431
10,46,60,1,1,29749.173806262617
20,46,24,1,1,38962.434724658924
9,34,34,2,1,22791.32280056871
14,27,49,4,0,29153.88216177345
20,26,39,4,1,41952.39832063867
13,59,30,2,0,33493.12858792833
19,31,64,2,1,39206.35189197075
17,32,40,3,1,37248.89918283237
9,36,46,4,1,24043.028281003506
15,36,39,1,0,31395.02859246107
13,55,18,2,0,34075.05983811589
13,40,46,1,1,31453.716923734726
10,27,22,4,1,24282.042608451666
19,24,52,5,1,38469.8922579968
11,45,27,5,1,28458.397570892914
15,35,36,2,0,34226.35757935926
14,55,54,3,0,36130.34527924626
20,47,24,1,1,40179.57086637781
10,48,63,2,0,33303.673612122424
14,31,52,3,0,33557.83861317286
10,56,62,1,1,32265.00403550036
10,49,30,4,1,29391.401824847122
10,42,27,5,1,27180.31941774028
19,35,19,3,0,39286.60573403771
11,33,23,1,1,23114.330914239174
10,29,25,2,0,23171.641919262005
12,26,53,1,1,30759.605999983196
17,56,42,2,1,44254.454152073966
14,48,61,5,0,35628.12350637336
9,22,64,5,0,24618.330769622124
16,34,57,1,0,36538.67163716926
20,55,24,1,0,40911.63756857961
15,38,63,2,0,35824.88038715197
18,32,40,2,0,34242.61464254706
11,40,36,3,1,27765.3567813577
9,56,63,3,0,28923.962246430743
13,46,39,3,0,32939.829562964325
12,48,30,1,1,29980.205559393544
18,39,38,3,0,37948.36984043675
16,44,18,1,0,37706.84297280578
9,25,36,5,1,22241.618337707303
18,55,50,4,1,46756.44477084176
9,21,21,5,1,20692.743066431354
20,41,59,1,0,45731.10571985217
12,51,20,1,1,28460.955263191154
16,35,44,4,0,34012.64271413774
13,37,58,2,1,32734.527758518216
10,24,52,2,0,27426.150473439964
14,55,45,2,1,35774.09195769214
13,49,23,3,1,28737.09541754191
10,38,23,2,1,25695.9807170942
19,42,61,3,0,43127.95662056018
19,53,40,3,0,41997.979845325644
19,32,50,2,1,39153.87242607241
11,48,33,2,1,27657.85265820952
17,55,41,4,1,42447.81350252555
15,41,22,4,1,32946.648193982655
15,55,58,3,0,39780.954779783155
19,28,59,4,1,38807.147015585106
14,58,30,3,1,38272.454499249216
16,38,64,1,0,38441.5933738894
12,57,29,3,0,28017.72856806019
16,25,22,3,1,32119.963189614202
12,34,54,4,1,29671.358616661382
16,39,48,1,0,36272.10982380572
17,28,45,5,0,37587.38190418591
11,51,45,5,1,31377.143235628984
11,23,47,5,0,29224.684649955354
19,37,35,1,0,39611.18627630208
10,24,61,2,1,24966.765978081577
18,39,44,1,1,35573.42410475125
11,42,52,4,0,28664.260104096287
11,30,43,3,1,26155.50975806168
13,56,56,3,1,39232.57634467847
13,41,35,4,1,30278.89133857418
10,23,50,4,1,27884.023987281507
20,48,42,3,1,41503.379897261824
18,53,48,2,0,40855.06394676105
14,32,54,2,0,35053.953974699594
13,28,19,2,1,25809.75595798559
14,50,50,4,1,38198.45729138752
9,26,56,3,1,22647.396965821154
13,23,60,3,0,28647.819683681653
17,38,60,3,0,40383.697867913936
20,49,49,1,0,43075.397302634934
18,50,35,1,0,39951.19130882976
10,54,34,5,1,29989.557251378967
9,40,51,1,1,26094.78854168529
18,50,56,2,0,41474.843194700436
19,38,24,2,0,36085.54418804134
17,50,59,2,1,44298.65721590337
18,51,52,2,1,45672.22448363055
17,21,47,5,1,35058.67132574418
17,29,29,2,1,33735.765702107215
14,21,52,4,1,30045.6564819444
16,21,28,4,0,32664.3858162724
19,43,61,4,1,45263.564051287874
9,36,21,1,0,21719.694290295305
18,51,42,3,0,43549.21634746647
12,35,49,5,1,31130.17796829873
9,35,37,4,0,26314.44748353723
16,58,48,4,0,37196.44610985126
9,50,21,2,1,24761.59305970205
11,43,55,4,0,30254.197166203845
12,20,64,2,1,27462.092607176368
16,30,18,2,1,35634.64598827481
14,40,20,3,0,30180.26472576627
18,23,54,1,1,37936.78484046986
20,26,39,2,1,39405.679831448506
15,45,34,2,0,34319.54560474952
16,31,31,3,1,31882.719544788008
10,50,58,2,0,34911.69706440246
18,36,52,5,0,38956.255343435645
19,52,30,1,1,43651.169164843304
16,30,52,5,0,35180.70333409842
11,47,60,4,1,30982.556676833698
15,51,19,1,0,34816.5831549102
11,20,64,4,1,27516.22743328598
15,47,30,2,1,33960.828563793235
19,26,33,3,0,35470.75876367001
20,21,35,5,0,38652.34801800883
10,43,24,4,1,26232.73452993952
18,23,62,2,1,36495.884372692366
14,38,53,5,0,32023.129310485187
11,45,58,5,1,31998.557669431757
11,30,47,4,1,23363.83867035068
17,59,59,2,0,42678.800342745475
15,30,58,3,0,34570.17664710135
13,22,24,4,1,29775.344765814654
20,31,32,5,0,39420.96231968649
18,22,57,5,0,36497.61728504276
15,46,36,1,1,35869.12170265108
17,21,60,2,0,34266.91848861855
9,35,54,1,0,25462.127526803444
15,21,19,3,1,28658.604056235563
14,49,59,4,0,37959.024715733845
18,39,30,5,1,36453.999619430935
20,57,57,2,0,47088.55233819398
17,47,58,5,0,37117.96895728226
9,44,60,1,1,29333.361038345294
12,51,60,1,0,33739.119977586284
17,29,48,4,0,39868.63368795302
12,59,33,2,0,33802.67070213161
18,52,59,2,0,41566.01685192074
11,32,61,4,0,26812.628275577623
17,60,23,1,0,41123.39986247452
10,56,45,1,1,34292.86266758084
12,35,49,1,0,32880.327514319484
14,41,61,5,0,32874.61750493744
10,39,27,3,1,25906.587005979003
16,46,35,1,1,38954.0405180421
16,60,21,3,1,35417.68057558505
9,35,26,3,0,25174.73447952824
20,53,24,2,1,41594.424108234154
11,51,25,4,1,28769.054128474625
18,45,60,5,0,42553.264808732885
17,44,24,3,1,38836.631073371726
13,21,58,5,0,32563.81365903151
14,31,57,2,0,32254.133450870708
12,59,20,1,0,30840.72050840147
18,28,34,3,0,34907.54326256497
10,31,19,4,0,24659.168492326073
19,45,32,2,1,42691.11159327042
16,28,63,5,0,37688.82767186934
19,29,46,1,1,39439.57863978777
14,51,39,5,0,35836.89405779249
13,53,21,4,1,31739.26236544043
17,39,23,3,0,35325.79051581913
9,58,55,4,0,32307.94708095604
13,21,43,5,0,28528.583890630263
14,20,28,5,1,26853.66787094618
13,55,43,4,1,36998.65322292169
14,43,34,4,1,31784.328870956324
14,46,41,4,0,34591.395564134444
15,21,45,1,0,28719.957540769385
12,50,52,5,1,31308.398136801905
19,33,48,2,0,39938.21075058401
16,21,30,1,1,29807.513559118008
15,48,52,1,0,36841.69868194072
17,34,33,1,1,38026.53996197381
15,31,32,2,1,31650.48728322179
11,56,60,4,0,35499.69846831432
11,47,35,5,1,27838.57497295446
16,39,64,3,0,39297.80866795885
13,58,54,3,0,34499.618544190074
12,43,58,5,0,31900.438029634763
16,40,44,2,1,37578.98801873534
14,29,52,3,1,32025.514458110767
10,33,62,1,1,29684.601445404816
12,56,52,3,0,35735.028470794365
20,37,45,5,0,41283.18970132251
19,43,56,1,1,45293.89674562194
12,33,55,3,0,30972.610141593585
14,53,26,5,0,33712.62155411644
14,31,29,2,1,30391.53236058748
9,41,32,5,1,25081.83650171264
16,25,38,2,0,33203.18465282641
14,55,52,1,0,36916.48135011119
11,55,59,5,1,34145.055432610636
17,41,50,4,1,40279.63940702447
10,33,36,4,0,26051.1278430173
19,35,40,4,0,40283.05693238818
16,55,30,4,0,37798.64188124587
18,44,61,4,1,40127.83542354166
11,51,18,2,0,26241.31113040253
20,52,46,5,0,43584.84732671756
13,55,41,1,0,33763.99206798453
14,39,33,4,0,35443.582779429235
18,37,42,4,0,41103.32309094667
14,57,40,1,0,35213.36753084611
12,22,45,1,1,27799.404565791527
11,42,64,4,1,31164.755583858918
12,51,33,2,1,31971.981529230154
9,35,60,1,0,25402.758719861344
12,24,55,5,1,32783.51966092709
9,23,28,5,0,24628.999446774844
20,40,20,2,0,39414.76496924045
9,59,32,3,0,27307.341968555138
18,33,18,2,0,37250.94526684319
14,58,24,4,0,32580.661629171176
13,50,18,3,1,32991.89584953875
19,33,49,4,1,40250.93195691708
12,25,26,5,1,22731.80534800706
19,31,46,1,0,38996.458974109504
11,35,43,4,1,26488.49200667727
9,36,40,5,0,25023.56048937531
14,42,62,2,1,35715.01258423803
10,33,60,4,1,24905.370116903276
16,26,46,5,1,33131.71300772491
18,51,55,1,1,43849.44063169944
13,34,50,4,1,32793.81634390435
15,36,24,5,1,31373.883904080994
18,60,29,4,0,42815.541285765205
20,53,48,1,0,45932.76040188922
10,24,49,4,0,24594.712552487956
16,46,37,4,0,37827.75841209078
10,42,34,5,0,24949.59114240863
12,59,53,3,1,35101.94080165064
9,33,20,4,0,18892.121527018535
13,34,18,3,0,27991.749388299468
17,52,44,2,0,43150.05280937039
9,50,64,4,0,29260.94889821614
17,54,57,3,0,44650.08025650041
19,36,50,2,0,40092.82386235817
16,47,37,5,0,34930.55779916754
14,38,31,4,0,33030.7889960315
15,42,53,5,0,37127.868083975176
11,51,22,2,1,33538.015868473
9,59,40,5,0,27341.408566933824
13,32,62,5,0,32812.82808805062
20,39,32,1,1,41784.08650246538
20,54,23,2,1,45216.369403717596
10,24,50,5,0,25859.597866459597
13,28,36,3,0,28123.844911542827
16,48,30,2,0,34457.85558625708
19,25,46,1,1,38793.24578495119
17,44,23,4,0,37348.841303034045
10,50,32,5,1,29462.83204459301
20,41,33,3,1,40921.13230695779
11,21,41,1,1,25356.303120721663
11,24,40,2,1,22211.697416174316
9,46,27,5,1,23341.507505392485
16,44,58,1,0,40471.059027822805
14,27,58,1,0,32559.671056144376
20,20,34,3,1,38351.64019593783
16,39,61,4,1,36703.29651780835
19,42,62,4,1,41649.09446662181
17,51,47,4,1,39552.897475603786
13,30,61,2,0,32075.368856074205
20,58,63,1,1,49271.83491128544
11,43,27,2,1,27301.779890235794
13,30,36,1,0,25780.83513970434
13,48,46,3,0,34502.075211701944
13,45,19,3,0,30934.104310242576
11,35,53,2,0,29758.345956446177
19,54,36,2,1,44612.996244499525
18,39,24,3,1,38755.11698119858
12,22,43,5,1,29421.62845561235
17,20,32,4,1,32756.835460095754
18,20,64,4,1,36536.14456168034
17,36,55,3,1,40281.68168154432
10,21,20,4,1,23016.712110684442
16,48,55,5,1,38634.296612717626
16,39,33,5,1,37311.77164775478
15,25,19,1,0,29549.056946622186
16,27,48,2,1,36752.64603397852
11,48,45,4,0,34058.43028655243
14,52,24,5,0,39082.14349938971
9,22,47,2,0,22724.474784780617
15,54,60,2,0,42130.8617101083
9,24,24,1,1,22407.692579654115
17,46,53,2,0,41893.92322963799
9,31,46,2,0,25148.8637375618
9,39,41,3,1,27302.20911966864
15,39,56,1,0,33151.83147280769
10,28,21,1,1,22642.316169294612
13,58,46,4,1,34393.0368675484
16,23,61,2,1,33225.76682879996
16,38,22,4,1,30928.995810924906
11,57,46,5,0,31446.571213913357
15,46,47,2,1,36051.69898574889
11,32,46,5,0,27868.618618946504
14,32,43,3,0,31675.14304316063
14,41,36,2,1,34904.67741776499
11,47,43,4,0,28407.995090013505
15,41,54,4,1,32212.686544567558
11,38,44,2,0,29562.901197449206
16,27,47,4,0,34006.5432337741
18,27,47,2,0,36965.018252765236
12,45,20,1,0,27574.430242542658
9,45,60,4,1,30318.274072428834
12,42,24,2,1,27961.87051037295
15,32,26,2,0,29732.85331222089
19,47,58,4,0,47048.52210405384
12,28,59,1,0,30883.14807108401
14,39,30,4,0,31719.683375209024
17,38,32,2,1,31417.515887788362
9,58,22,1,0,26829.15075089872
13,31,46,5,0,30256.76662620868
19,34,52,3,0,43427.36400394422
15,50,44,4,1,33400.04493443607
9,33,44,2,0,27620.51360436914
12,30,25,1,1,27373.866248222024
14,45,49,1,1,32484.834283563316
10,46,37,5,0,29743.63167190294
18,30,27,4,0,35212.25376594535
13,57,30,1,0,30576.24497247863
19,53,46,5,1,42811.1609012091
18,38,52,2,1,40309.81405903413
9,25,25,5,0,21123.874394485523
14,57,46,4,1,38286.956290422415
14,47,48,5,0,37394.861217682075
12,20,58,1,0,25602.864669237213
16,54,47,1,0,39458.19125907471
12,59,39,3,0,32480.08474901367
16,27,38,5,0,30702.139831077082
16,26,29,2,0,31996.32160847558
13,30,28,4,1,29163.332367715982
12,58,19,3,1,32481.35420908947
20,23,58,5,1,39609.57643349289
10,44,19,2,0,23684.26199720106
19,31,51,3,0,38510.74073219421
11,45,20,1,0,23746.335948994216
11,57,33,4,1,28821.393336394864
12,31,21,5,0,24094.754073514665
12,56,40,2,1,34890.60996111026
18,43,37,1,0,40988.80725991371
19,35,42,3,1,43958.963256282215
19,32,47,4,0,40080.653665719576
13,44,35,3,0,30832.227949234366
12,23,59,3,1,28523.943695527527
19,30,28,2,1,36961.5464790587
18,51,46,1,1,40536.561411340655
16,26,34,5,0,33239.84476248629
14,30,43,2,1,31686.71044730115
14,47,40,4,1,34234.83732878723
16,60,37,3,0,39111.42181140853
15,42,62,4,0,38363.80293529358
18,42,19,2,1,36192.51675376443
19,47,41,2,0,41193.682545170865
20,45,48,5,1,44750.16546193616
18,44,44,3,1,42222.95942812301
16,48,19,2,1,37340.275597595944
10,38,31,4,0,25180.827362321885
17,52,21,5,1,35471.304936076645
9,55,30,4,1,26921.018739008112
16,33,53,3,0,36047.01081493732
20,33,52,5,1,39571.553281523804
19,54,61,5,1,44783.80788395262
20,49,25,5,1,44714.19809132435
20,47,19,1,0,41594.958491245554
12,36,23,5,1,26418.8203736036
12,22,48,4,0,27257.677818923778
13,35,27,4,0,29367.493565793426
16,49,61,3,1,39153.29823670219
13,48,38,2,1,34444.75967033322
16,34,59,2,0,33043.19613236941
18,44,27,1,1,39443.522159541164
9,57,40,5,1,27753.705322756683
20,57,20,1,0,45491.40901610661
18,42,49,3,1,37750.71556149875
17,44,37,3,1,39877.152185091065
14,26,27,2,0,27321.464133529124
11,41,46,3,1,29943.971823238233
16,36,58,5,0,36070.000259368986
17,37,63,4,0,41454.41946418588
14,60,51,3,1,37717.83960871977
19,29,54,1,0,38253.88007057513
15,29,37,5,1,34798.19948961515
9,26,25,3,1,20639.703536752593
13,57,24,3,0,34343.5640773086
13,46,23,5,0,32878.08873853891
18,52,28,3,0,38441.01438114011
12,20,61,4,0,28943.892569967564
14,53,35,2,0,36214.369631735586
15,23,59,5,0,29905.04434759162
17,36,46,1,1,37946.1185933605
9,23,42,3,1,21592.18055150993
14,45,38,2,0,37040.366985862776
15,23,63,1,1,35132.23903103866
11,20,20,1,0,23378.153471827063
16,26,35,4,0,28617.343536919627
13,49,41,2,1,34289.9720068013
17,28,64,5,1,35978.05199050433
13,54,55,2,0,37547.05694413943
17,27,27,2,0,33280.16528485113
18,43,44,1,0,38961.828119959595
12,38,29,4,1,27626.7641788079
17,55,24,4,0,38159.560277603414
13,46,34,2,0,29405.544685372137
18,51,18,2,1,36567.96394205751
17,33,43,3,1,35729.03263044053
11,37,32,1,1,30210.27335610163
12,47,50,5,0,33828.92640002185
17,48,54,5,0,42108.009587643675
18,35,64,4,1,42794.45620557953
19,54,48,1,0,44662.23116199343
14,50,52,4,0,35286.6478041793
10,23,18,5,1,20578.032448014663
15,56,25,2,1,34548.52234442017
10,36,29,1,0,26722.016207095374
19,58,36,1,1,41827.51118181254
10,45,42,3,1,32380.687297472068
19,58,49,2,0,43194.183268297864
9,60,29,2,0,30845.809117414858
19,23,30,4,0,38556.601327488155
19,49,45,1,0,44048.70769967658
20,49,18,4,0,44841.14417246337
19,41,23,2,0,38607.53018277451
11,30,25,3,1,25256.534880438685
14,21,21,1,1,27748.8530556416
16,31,22,2,1,33580.240738442044
17,49,42,3,0,35862.06664458373
15,55,39,5,0,37187.726950594944
12,37,45,2,0,31616.47209697596
14,45,56,5,0,34856.16847835394
13,26,40,4,0,32619.152985122662
16,20,21,5,1,30356.062433889067
9,45,21,2,0,25629.043415317803
9,42,64,5,1,31401.992710823517
19,45,38,1,0,41558.86587450978
14,25,54,2,1,34469.31305737039
18,25,58,3,1,38966.29234121723
20,27,19,5,1,38470.16155112826
10,43,24,1,1,24221.67767367784
13,41,33,4,1,33212.92040562897
9,38,34,4,1,23287.21862105449
15,56,37,5,1,37027.23147064861
9,37,40,4,0,27418.396894672034
12,50,51,3,0,32366.517453841258
17,56,28,2,1,40195.57895921644
9,49,51,1,0,28292.2552416261
12,52,50,5,0,33362.002265447045
14,29,43,4,1,30801.080229496725
14,56,19,2,0,32027.647196448408
20,31,40,3,1,41290.286333360156
16,49,58,4,0,40868.24360248363
9,46,39,4,1,25436.02517426882
15,58,51,1,0,38315.42264407113
9,28,32,3,1,24125.982474435183
15,40,27,3,0,32672.42453663251
11,31,32,5,0,26085.194297102535
19,48,59,1,0,42236.8055188283
16,52,46,5,1,38873.05457655287
11,34,40,1,1,25547.642642388924
9,21,34,3,0,19890.04848658911
16,58,26,1,0,36671.63833665307
11,37,53,1,1,30926.567251331253
10,22,26,1,0,19340.825166869094
9,26,33,2,0,22533.363355592337
11,37,53,2,1,28753.75112436199
10,57,50,3,1,34192.52498627627
10,56,48,1,0,32558.939969159648
14,52,23,3,1,31220.067762788327
20,50,27,2,0,41578.95438692173
9,30,33,1,0,22772.17385394089
10,23,21,5,1,20578.547760692105
14,37,39,2,0,34116.54666524162
11,23,30,2,1,24439.88384910379
12,53,33,2,1,31513.30810057456
9,48,46,1,0,29661.794736767024
16,43,23,4,1,32545.283224398612
15,41,43,5,0,34468.97464934109
15,21,28,5,1,29995.99832911207
11,25,41,3,0,25317.370939288863
18,44,46,1,1,34190.78949654772
18,40,20,2,0,37678.047220717846
11,35,27,4,0,27205.455192621757
10,50,18,1,1,24774.90406542194
20,33,60,1,0,38234.049427097976
9,58,43,4,0,28044.52883424433
15,47,29,2,0,34393.03613629899
15,51,31,1,0,35578.93778046452
20,47,42,5,0,39665.78708507727
10,28,25,5,0,23506.43673232269
15,41,60,4,1,38757.75347905402
16,51,21,2,1,38213.61325495172
9,24,45,4,1,25243.686695392003
17,42,24,1,1,33874.05272080318
15,24,27,5,0,31758.124616338366
11,51,53,3,0,30132.358844418883
16,29,19,4,1,33278.479907325986
15,58,43,3,0,36925.29728484454
19,34,31,3,1,39104.04625185922
16,26,33,5,0,35570.37402373514
14,48,60,4,0,38465.87265793673
17,22,59,3,1,33955.44728527279
13,38,34,1,0,28222.23188952646
11,29,63,2,1,30152.680735833514
11,47,39,2,1,32438.93568791053
9,48,21,5,1,26059.598979060193
20,34,36,4,0,39377.65406412158
16,54,19,4,0,36783.74010053377
10,25,56,2,1,26464.88826295499
11,31,26,1,0,25120.888697330785
16,57,36,2,1,37157.43872101358
16,32,33,2,1,35827.477132326174
19,48,42,4,0,46056.57229795685
12,38,35,3,1,31953.10963703634
12,22,40,1,0,22057.66924062598
13,27,38,4,0,31011.9640822414
14,27,28,2,0,30356.399466400315
13,39,56,3,1,31585.437455556763
15,23,58,1,1,28975.634744128958
10,40,21,5,0,24872.726295435805
15,22,42,1,0,31827.36312773525
18,27,49,1,1,35086.29021905354
15,42,47,2,0,38064.514964756854
9,35,62,2,0,29116.03887574801
15,32,43,5,1,34135.83185134557
13,22,53,5,1,26454.36993241053
11,28,51,5,1,26675.84906490145
11,33,26,4,0,27147.385770921806
12,32,29,4,1,28615.481963419083
20,26,19,2,1,35701.941723442185
10,34,55,2,1,26195.218604198562
10,26,22,5,1,20950.368075445756
9,57,22,4,1,26534.22317143404
13,53,39,3,1,33026.621508506156
12,60,22,4,1,30862.139563356028
19,41,21,2,0,38524.76464070211
18,43,26,4,1,38279.98313217045
10,56,46,2,0,32974.10564476109
11,20,39,5,0,20837.455489804346
15,29,44,5,1,35138.5266262355
15,35,27,5,0,30705.36853192005
20,27,33,3,1,42421.01345067271
12,44,59,3,0,34046.394068566435
13,31,59,2,1,32694.67632115366
13,44,27,1,0,30791.970686678374
14,36,23,3,1,34626.04818042606
17,45,22,2,1,36638.78981199281
10,33,23,4,0,26923.39484144256
13,60,64,5,0,36750.934225299134
20,55,42,5,1,46633.18730435829
11,42,21,5,0,30796.361550464622
12,25,57,2,1,27004.052971989066
18,24,49,5,0,37682.52033708232
14,44,52,3,1,33587.25015241493
20,37,27,4,0,40959.32515500631
16,32,51,5,1,39287.9770360607
9,33,53,2,0,23533.16173840989
18,47,23,4,1,39012.01602423541
16,37,60,5,0,35731.05748399164
19,47,63,1,1,43941.437373164474
15,46,33,5,0,36242.45270357733
9,51,36,3,0,26703.663419097207
10,28,51,4,1,28847.827964791173
11,59,42,3,0,33466.68726394292
9,51,48,1,0,25853.176805099734
17,39,58,1,1,39739.58906986631
16,47,34,3,1,39722.23570284366
10,52,64,4,1,32884.828423556486
17,23,47,1,1,35321.522089212
15,53,56,1,0,38104.93598795334
17,22,48,5,0,34505.94655801824
14,45,36,2,0,33621.68348857397
14,27,52,1,1,26708.121551897777
19,25,46,4,0,39027.39705603505
12,35,18,4,0,28793.395687089385
18,43,21,5,1,36204.14065804632
18,58,45,4,0,43564.96724502668
10,49,35,5,0,29007.22320745013
15,32,43,1,1,34820.594411553284
13,24,57,1,0,30024.686808241964
19,44,36,1,1,41979.27381296465
14,39,23,1,1,28776.80913961682
10,37,18,2,0,22171.487316477025
13,37,25,2,0,30262.294016976524
18,21,50,1,0,35740.81163920186
12,29,60,4,1,26638.578294256527
17,31,38,5,1,36194.99360854272
14,32,41,3,0,28950.495972425935
10,30,42,5,0,30605.221435956828
9,38,64,3,1,23147.74508230733
13,54,60,3,0,36405.35642850234
17,58,36,1,0,38467.70329183355
14,45,46,3,1,36431.73711769126
18,33,27,1,0,35494.23159026813
20,43,29,2,0,43525.665615558995
15,60,50,4,0,41034.674826598464
13,20,24,3,0,23764.495795674124
18,41,34,4,1,37145.33628604587
14,42,27,1,1,31410.96083300755
13,38,48,3,1,31764.937149754765
19,37,23,5,1,37807.09243518773
17,31,34,2,0,36556.221660695024
14,47,54,2,0,36267.90399729765
19,47,35,3,0,40174.69995704579
16,52,43,2,0,36875.09442440584
10,38,33,5,1,24268.211816486928
20,47,25,4,0,42559.98605563731
17,56,41,5,0,40413.85513553332
13,45,30,2,1,35660.62851621827
15,54,46,4,1,37899.513308754955
18,53,49,5,1,42877.460798876455
9,54,41,1,0,24797.927635290802
18,59,33,1,1,39423.88099911103
13,35,28,4,0,27057.197158884115
20,57,49,4,0,45233.93867972205
18,32,23,4,1,32735.525555915214
10,42,52,1,1,26290.141369926463
20,41,50,5,1,44529.874635941334
14,35,35,4,0,29780.275061698812
19,47,54,1,0,43217.974764016224
9,54,30,4,0,28484.280628503904
11,27,27,4,1,26493.23989823449
13,41,54,4,0,33685.048261074095
12,40,43,1,0,31005.48245917386
11,45,63,5,0,33754.55404854103
18,59,34,1,0,43028.531573326945
13,40,18,1,1,31370.850868826223
19,44,42,4,0,37213.214975211406
16,60,51,3,1,40932.640898058395
19,20,56,3,1,38211.37495616312
12,25,27,3,0,25464.231470929615
9,42,37,1,0,25846.400986492856
19,42,24,4,1,38483.3345512618
15,42,33,3,0,35777.95503889755
16,51,54,2,1,38528.86261215435
11,49,46,2,0,30464.514025688957
14,32,29,2,0,33188.075328471765
10,37,34,5,1,28408.878077364236
15,42,37,4,0,34915.26887107731
16,34,43,1,1,33826.22357615752
14,52,36,1,1,31731.453916480845
14,40,64,4,0,35137.298857668284
13,58,29,5,1,35016.358875639344
16,42,38,4,0,34757.677077281995
9,46,59,5,0,28611.857494955442
18,37,51,3,0,38803.12198958565
12,43,24,3,1,25555.610151792174
12,59,62,5,0,36234.33243809586
11,26,52,4,0,27770.17961346422
11,39,32,3,1,27818.838762898147
12,46,18,4,1,32224.995533878013
19,25,43,3,1,37156.26586198172
9,46,52,4,1,27097.367407478036
19,28,42,4,0,42632.92037942646
19,50,59,2,0,41902.51409311661
10,40,32,5,0,24960.35934980556
17,45,39,1,0,39121.9665020557
18,59,23,5,1,43350.541902846715
10,32,32,4,1,26469.67144602579
13,42,41,4,0,29920.238602695175
17,39,38,5,1,40355.29044156312
17,56,24,4,1,40028.12053427464
16,47,46,3,1,36361.259489841555
9,36,49,4,1,24129.59908569301
9,47,49,5,1,27943.093414066003
17,60,22,5,0,44004.64782788692
19,21,21,5,0,35224.896115002295
16,44,39,2,1,40986.32303604371
18,60,35,2,1,44256.1747701574
17,25,52,2,0,33175.403055556555
15,30,34,2,0,34715.02082844449
11,57,41,2,1,30111.697195960096
11,25,19,2,1,22169.776337779516
10,30,30,2,1,24551.506137240736
13,33,32,5,0,29243.129690095102
20,21,22,1,1,38186.82887169451
20,59,20,2,1,44803.443865327645
11,22,54,5,1,26064.143418396055
14,54,54,1,1,40597.85230925352
10,52,54,2,1,29850.92276170836
20,43,20,1,1,38599.95071928765
11,38,52,1,1,30226.598251864576
13,37,40,3,1,30863.633241417294
20,43,45,4,0,43590.75252355817
19,54,47,3,0,45476.32289681619
19,20,35,1,0,35629.81434065616
9,55,53,5,1,33517.21779335703
9,44,50,2,0,27829.97305962655
18,53,43,4,0,40999.21273793724
17,44,57,2,0,41179.158489921305
15,35,34,5,0,32729.037477905975
9,53,57,4,0,30026.593639268118
20,48,24,3,1,39787.73514182898
16,38,25,1,0,32114.413049608695
11,42,48,5,1,31823.18067382678
16,38,29,1,1,32031.285097541357
13,44,48,1,0,32855.247533982736
9,35,61,2,1,27251.701275705276
15,28,36,5,0,34526.05203024481
13,20,27,1,1,25237.44477581528
14,38,56,3,1,35717.79890975104
14,52,29,4,0,34058.95050385817
16,53,37,5,1,33939.76019267928
17,35,54,2,1,37992.15157567176
10,59,58,5,1,32466.185012655125
17,37,24,2,1,36150.24334484205
20,53,31,4,1,42414.70054405939
19,44,28,3,1,39027.95015420364
18,25,24,1,1,36802.13891621017
17,40,46,5,1,37427.70680300698
18,25,27,2,0,30873.1392554758
18,51,46,4,1,42780.888896685334
15,60,26,1,0,38825.129193327644
9,58,53,4,0,32107.527236243892
15,50,27,3,1,33969.3341087017
18,29,36,1,1,36400.45788370592
13,49,48,1,0,35162.55518019362
14,37,34,1,0,33727.82536135409
